year_month,variable,value
2021-03,pet adoption,-7.422222222222231
2021-04,pet adoption,-5.822222222222237
2021-05,pet adoption,-5.622222222222234
2021-06,pet adoption,-19.822222222222237
2021-07,pet adoption,-17.02222222222224
2021-08,pet adoption,-16.02222222222224
2021-09,pet adoption,-13.222222222222229
2021-10,pet adoption,-13.822222222222237
2020-03,pet sitting,-27.92222222222221
2020-04,pet sitting,-45.92222222222223
2020-05,pet sitting,-37.52222222222221
2020-06,pet sitting,-34.72222222222223
2020-07,pet sitting,-31.322222222222237
2020-08,pet sitting,-21.922222222222217
2020-09,pet sitting,-17.122222222222227
2020-10,pet sitting,-7.722222222222243
2020-11,pet sitting,-15.722222222222229
2020-12,pet sitting,-19.122222222222234
2021-01,pet sitting,-14.809259259259264
2021-02,pet sitting,-2.309259259259278
2021-03,pet sitting,-15.629629629629619
2021-04,pet sitting,-8.629629629629633
2021-05,pet sitting,-1.2296296296296276
2021-06,pet sitting,-3.4296296296296305
2021-07,pet sitting,-15.029629629629639
2021-08,pet sitting,-1.6296296296296333
2021-09,pet sitting,-0.8296296296296362
2021-10,pet sitting,8.570370370370355
2020-03,philately,0.11111111111111782
2020-04,philately,8.31111111111111
2020-05,philately,9.911111111111126
2020-06,philately,8.711111111111126
2020-07,philately,7.711111111111123
2020-08,philately,-14.48888888888888
2020-09,philately,-20.688888888888883
2020-10,philately,-6.288888888888884
2020-11,philately,1.9111111111111079
2020-12,philately,11.511111111111113
2021-01,philately,64.9962962962963
2021-02,philately,-28.003703703703707
2021-03,philately,-14.651851851851845
2021-04,philately,-7.451851851851849
2021-05,philately,-15.851851851851833
2021-06,philately,-13.051851851851836
2021-07,philately,-18.051851851851836
2021-08,philately,-4.251851851851839
2021-09,philately,-30.451851851851842
2021-10,philately,-28.051851851851843
2020-03,photography,-10.355555555555554
2020-04,photography,-10.955555555555563
2020-05,photography,-6.955555555555563
2020-06,photography,-0.5555555555555571
2020-07,photography,-0.3555555555555543
2020-08,photography,-0.15555555555556566
2020-09,photography,1.8444444444444343
2020-10,photography,-3.3555555555555614
2020-11,photography,-5.555555555555564
2020-12,photography,0.8444444444444414
2021-01,photography,-4.548148148148144
2021-02,photography,-2.2148148148148152
2021-03,photography,0.059259259259263786
2021-04,photography,0.45925925925925526
2021-05,photography,1.4592592592592553
2021-06,photography,5.859259259259254
2021-07,photography,4.059259259259264
2021-08,photography,0.2592592592592595
2021-09,photography,1.2592592592592524
2021-10,photography,3.0592592592592567
2020-03,pickleball,-13.18888888888889
2020-04,pickleball,-24.988888888888894
2020-05,pickleball,-13.588888888888889
2020-06,pickleball,-9.788888888888891
2020-07,pickleball,-7.588888888888896
2020-08,pickleball,-2.18888888888889
2020-09,pickleball,1.4111111111111114
2020-10,pickleball,2.81111111111111
2020-11,pickleball,-5.588888888888889
2020-12,pickleball,-4.788888888888891
2021-01,pickleball,-9.420370370370378
2021-02,pickleball,-4.253703703703707
2021-03,pickleball,6.548148148148144
2021-04,pickleball,27.748148148148147
2021-05,pickleball,24.148148148148152
2021-06,pickleball,26.94814814814815
2021-07,pickleball,31.148148148148152
2021-08,pickleball,29.548148148148158
2021-09,pickleball,31.148148148148145
2021-10,pickleball,26.548148148148144
2020-03,picnicking,26.755555555555574
2020-04,picnicking,32.355555555555554
2020-05,picnicking,24.755555555555546
2020-06,picnicking,-0.044444444444415865
2020-07,picnicking,3.1555555555555657
2020-08,picnicking,19.95555555555555
2020-09,picnicking,36.15555555555557
2020-10,picnicking,7.955555555555549
2020-11,picnicking,14.155555555555559
2020-12,picnicking,56.755555555555546
2021-01,picnicking,-12.885185185185186
2021-02,picnicking,18.781481481481457
2021-03,picnicking,28.07407407407409
2021-04,picnicking,9.674074074074074
2021-05,picnicking,23.074074074074062
2021-06,picnicking,-2.7259259259258997
2021-07,picnicking,-20.525925925925925
2021-08,picnicking,4.274074074074068
2021-09,picnicking,22.47407407407409
2021-10,picnicking,-7.725925925925935
2020-03,pilates,-14.344444444444434
2020-04,pilates,-23.14444444444443
2020-05,pilates,-26.544444444444423
2020-06,pilates,-26.344444444444434
2020-07,pilates,-24.14444444444443
2020-08,pilates,-20.344444444444434
2020-09,pilates,-17.14444444444443
2020-10,pilates,-14.344444444444434
2020-11,pilates,-16.344444444444434
2020-12,pilates,-13.944444444444443
2021-01,pilates,-20.235185185185173
2021-02,pilates,-12.735185185185173
2021-03,pilates,-10.459259259259255
2021-04,pilates,-12.259259259259238
2021-05,pilates,-12.659259259259244
2021-06,pilates,-15.459259259259241
2021-07,pilates,-10.259259259259252
2021-08,pilates,-13.459259259259241
2021-09,pilates,-5.259259259259252
2021-10,pilates,-2.459259259259248
2020-03,plastic art,-3.200000000000003
2020-04,plastic art,-6.200000000000003
2020-05,plastic art,11.599999999999994
2020-06,plastic art,-11.0
2020-07,plastic art,-3.799999999999997
2020-08,plastic art,-9.799999999999997
2020-09,plastic art,-1.5999999999999943
2020-10,plastic art,-7.3999999999999915
2020-11,plastic art,-13.599999999999994
2020-12,plastic art,-2.799999999999997
2021-01,plastic art,-30.633333333333326
2021-02,plastic art,-9.633333333333326
2021-03,plastic art,-7.333333333333343
2021-04,plastic art,-18.333333333333343
2021-05,plastic art,-16.53333333333333
2021-06,plastic art,3.86666666666666
2021-07,plastic art,-7.933333333333337
2021-08,plastic art,-25.933333333333337
2021-09,plastic art,-3.7333333333333343
2021-10,plastic art,-15.533333333333331
2020-03,play bridge,14.48888888888888
2020-04,play bridge,20.288888888888877
2020-05,play bridge,5.288888888888877
2020-06,play bridge,9.48888888888888
2020-07,play bridge,6.288888888888877
2020-08,play bridge,6.288888888888877
2020-09,play bridge,1.2888888888888772
